Name,Currently Brewing,Personal Rating,Company,Origin,Flavors,Single Origin,Notes,Price (250g),Image,Date,Process,Subscriptions,Count
Santuario ,,3,Full Court Press,Colombia,"Mandarin,Green apple,elderflower",checked,,£14.00,2022-07-07 07.03.43.jpg (https://dl.airtable.com/.attachments/2b12e76255c31c6c1358ca633e838df4/6f3ca426/2022-07-0707.03.43.jpg),7.7.2022,Washed,,1
Fazenda Rainha Da Paz,,3,North Star,Brazil,"Milk chocolate,Date,Hazlenut",checked,,£7.00,2022-06-27 16.27.11.jpg (https://dl.airtable.com/.attachments/3233a6ae8415cc9b0ad6e2ced1c3a8d2/0a8bf43b/2022-06-2716.27.11.jpg),27.6.2022,Natural,,1
Bolivia edition 22.002,,3,Hasbean,Bolivia,"Raisin,Toffee,Passion fruit,Satsuma",checked,,£10.50,2022-06-16 16.54.02.jpg (https://dl.airtable.com/.attachments/c5cd1d6d6118fea0f355a72d0ab27f19/b4738eca/2022-06-1616.54.02.jpg),16.6.2022,Washed,,13
Propeller,,3,The Gentleman Baristas,Rwanda,"Rhubarb,Strawberry,Red currant,Red grape",checked,,£15.00,2022-06-16 17.43.25.jpg (https://dl.airtable.com/.attachments/b888174e49a77e14f4de96539f8d8279/c361d58e/2022-06-1617.43.25.jpg),16.6.2022,Natural,,1
Mio 1988 micro lot,,3,Plot,Brazil,"Fruit and nut,Raisins,Milk chocolate,Hazlenut",checked,,£11.00,2022-06-09 20.32.14.jpg (https://dl.airtable.com/.attachments/3d2df7d2808508dd000d8497ad1a922d/09cccdf1/2022-06-0920.32.14.jpg),9.6.2022,Natural,,1
Frameworks Espresso Blend,,3,Cold Blow Coffee,"Colombia,Brazil,Ethiopia","Chocolate,Praline,Red fruit",,,£8.00,2022-05-22 08.30.02.jpg (https://dl.airtable.com/.attachments/8b6b6e009f3ee00dcb1af9f50198e4fd/cda424ca/2022-05-2208.30.02.jpg),19.5.2022,N/a,,1
Vinhal Cafes Artesanais,,3,Hundred House Coffee,Brazil,"Popcorn,Glazed doghnuts,Coconut",checked,,£10.00,2022-06-02 06.59.03.jpg (https://dl.airtable.com/.attachments/d4af0714a686b9fa14bdb4a3aa6c12e7/2461166c/2022-06-0206.59.03.jpg),10.5.2022,Washed fermentation,,1
Herrera Java,,3,Round Hill Roastery,Honduras,"Hibiscus,Liquorice,Turkish delight",checked,,£16.00,2022-05-05 06.33.31.jpg (https://dl.airtable.com/.attachments/a4e5e42c9e2afd4266e1da5f6f97c7e8/0e420d04/2022-05-0506.33.31.jpg),5.5.2022,Washed,,1
El Resplandor,,3,Mr Tinto,Colombia,"Orange blossom,Panela,Grapefruit,Peach,Lime",checked,,£12.00,2022-05-14 07.22.08.jpg (https://dl.airtable.com/.attachments/b404e24e3ad03f330a4c2a2dd891a399/d8c1a50d/2022-05-1407.22.08.jpg),1.5.2022,Washed,,1
Aracelly Robles,,3,Girls Who Grind Coffee,Costa Rica,"Almond,Fudge,Green apple,Fresh apricot",checked,,£12.00,2022-04-26 10.44.54.jpg (https://dl.airtable.com/.attachments/db7c94514ff227ab7dd2531669cf51bd/11597790/2022-04-2610.44.54.jpg),26.4.2022,Washed,,13
Colombia,,3,Hound Coffee Co,Colombia,"Red apple,Butterscotch,Brazil nuts",checked,,£10.00,2022-04-21 07.13.24.jpg (https://dl.airtable.com/.attachments/b74dcc187c9e3c02cf4812ad5ddef255/dc81f6ad/2022-04-2107.13.24.jpg),21.4.2022,Washed,,1
Frutos del Corcovado ,,3,Campbell and Syme,Peru,"Gooseberry,Rooibos",checked,,£11.00,2022-04-13 17.47.15.jpg (https://dl.airtable.com/.attachments/7ca3741666f3dcf0de300944a2e87702/04d36cca/2022-04-1317.47.15.jpg),13.4.2022,Washed,,1
Eastern Promise,,3,Corojo,Sumatra,"Black pepper,Citrus",checked,,£9.50,2022-04-09 10.17.21.jpg (https://dl.airtable.com/.attachments/9b91a9a0b75055694ce3844e7cf9c67e/acff7c31/2022-04-0910.17.21.jpg),8.4.2022,Washed,,1
Jose Martinez,,3,Calendar Coffee,Colombia,"Cinnamon,Peach",checked,,£20.00,2022-04-06 07.15.37.jpg (https://dl.airtable.com/.attachments/cd403304ae840aa86b07370b0ae9b0c4/37f2b195/2022-04-0607.15.37.jpg),6.4.2022,"Double anaerobic Honey,Washed",,1
Alto del Obispo,,4,Coffee By the Casuals,Colombia,"Chocolate,Caramel,Orange",checked,,£7.50,2022-03-25 11.00.38.jpg (https://dl.airtable.com/.attachments/a0d0a9f3e07e701690ca36d90ddc2847/9314ca23/2022-03-2511.00.38.jpg),25.3.2022,Washed,,1
Tropical Bahia,,3,UE Coffee Roasters,Brazil,"Pineapple,Milk chocolate,Almond",checked,,£8.50,2022-03-17 18.26.01.jpg (https://dl.airtable.com/.attachments/b7d7e26084ecb7384b8b48e386713a30/3c8e5190/2022-03-1718.26.01.jpg),17.3.2022,Natural,,1
No Boundaries Brew,,3,Caravan Coffee Roasters,"Colombia,Rwanda","Berry jam,Molasses,Sweet tea",,,£10.00,2022-03-12 08.15.02.jpg (https://dl.airtable.com/.attachments/a9f139b1a7e99a1d5f681d855c86e73d/ec510fb3/2022-03-1208.15.02.jpg),12.3.2022,"Washed,Natural",,1
Colombia El Carmen,,4,Milk and Beans,Colombia,"Chocolate,Berries",checked,,£7.00,2022-03-04 06.34.09.jpg (https://dl.airtable.com/.attachments/546a6ed0cdbad84e720b6885b455b553/79f92a64/2022-03-0406.34.09.jpg),4.3.2022,Washed,,1
Get to the Hopper,,1,Lost Sheep Coffee,n/a,"Chocolate,Caramel",,Too dark,£10.90,2022-02-21 07.42.45.jpg (https://dl.airtable.com/.attachments/b756eb943735a369dc6c603ca95f868c/168966e4/2022-02-2107.42.45.jpg),19.2.2022,N/a,,1
Domingo Antonio,,3,Cult Espresso,Mexico,"Caramel,Pear,Biscuit",checked,,£16.50,2022-02-21 07.42.59.jpg (https://dl.airtable.com/.attachments/56fa3258332250330331fff8668ac3f5/499b5153/2022-02-2107.42.59.jpg),18.2.2022,Washed,,1
Don Mayo,,4,Ozone,Costa Rica,"Lemon,Orange zest,Bakers chocolate",checked,,£10.00,2022-02-05 09.25.06.jpg (https://dl.airtable.com/.attachments/5c4c886543db63c419b8df95a2ba8d8d/aa052f3e/2022-02-0509.25.06.jpg),5.2.2022,Yellow Honey,Passenger,1
Don Joel,,2,Ozone,Costa Rica,"Nectarine,Honey,Tropical fruit",checked,Huge beans,£10.00,2022-01-24 18.20.42.jpg (https://dl.airtable.com/.attachments/79b5d4e949387f15963df02500259632/fd574f5d/2022-01-2418.20.42.jpg),24.1.2022,Yellow Honey,Passenger,1
1 Pull,,3,Bubblehead Barista,"Ethiopia,Peru,Sumatra","Spice,Gingerbread",,,£14.00,2022-01-24 18.27.05.jpg (https://dl.airtable.com/.attachments/623910e12668299709edac5eca91b75f/335db82e/2022-01-2418.27.05.jpg),24.1.2022,N/a,,1
Kotowa mandarina,,3,Mr Coffee,Panama,"Jasmine,Lemon,Peach,Meringue pie",checked,,£8.80,2022-01-09 08.46.08.jpg (https://dl.airtable.com/.attachments/0d48fae9269b0fc154ccaac5e50a1e3a/533b9e19/2022-01-0908.46.08.jpg),9.1.2022,Washed,,1
DoI Pangkhon,,3,Ozone,Thailand,"Raisin,Brown sugar,Cream",checked,,£12.00,2022-01-08 14.25.47.jpg (https://dl.airtable.com/.attachments/2d61071d59d35b0cd7b5f4a65b2229c4/e943ce20/2022-01-0814.25.47.jpg),8.1.2022,Natural,Passenger,1
